222,Бекар №12-2 ПГ 600 шпон кавказского дуба (-/2),4607099419346
213,Бекар №12-2 ПГ 700 шпон дуба  файн-лайн (-/2) (ВЛ),4603636003313
186,Бекар №12-2 ПГ 700 шпон дуба (-/2),4607099419438
196,Бекар №12-2 ПГ 700 шпон дуба (-/2) (ВЛ),4607158468704
223,Бекар №12-2 ПГ 700 шпон кавказского дуба (-/2),4607099419339
214,Бекар №12-2 ПГ 800 шпон дуба  файн-лайн (-/2) (ВЛ),4603636003290
187,Бекар №12-2 ПГ 800 шпон дуба (-/2),4607099419421
197,Бекар №12-2 ПГ 800 шпон дуба (-/2) (ВЛ),4607158468711
224,Бекар №12-2 ПГ 800 шпон кавказского дуба (-/2),4607099419322
215,Бекар №12-2 ПГ 900 шпон дуба  файн-лайн (-/2) (ВЛ),4603636003214
188,Бекар №12-2 ПГ 900 шпон дуба (-/2),4607099419414
198,Бекар №12-2 ПГ 900 шпон дуба (-/2) (ВЛ),4607158468728
225,Бекар №12-2 ПГ 900 шпон кавказского дуба (-/2),4607099419315
216,Бекар №12-2 ПО 600 шпон дуба  файн-лайн (2/2) (ВЛ),4603636003139
189,Бекар №12-2 ПО 600 шпон дуба (2/2),4607099419407
199,Бекар №12-2 ПО 600 шпон дуба (2/2) (ВЛ),4607158468735
226,Бекар №12-2 ПО 600 шпон кавказского дуба (2/2),4607158466557
217,Бекар №12-2 ПО 700 шпон дуба  файн-лайн (2/2) (ВЛ),4603636003276
190,Бекар №12-2 ПО 700 шпон дуба (2/2),4607099419391
200,Бекар №12-2 ПО 700 шпон дуба (2/2) (ВЛ),4607158468742
227,Бекар №12-2 ПО 700 шпон кавказского дуба (2/2),4607099419308
218,Бекар №12-2 ПО 800 шпон дуба  файн-лайн (2/2) (ВЛ),4603636003269
191,Бекар №12-2 ПО 800 шпон дуба (2/2),4607099419384
201,Бекар №12-2 ПО 800 шпон дуба (2/2) (ВЛ),4607158468759
228,Бекар №12-2 ПО 800 шпон кавказского дуба (2/2),4607099419292
219,Бекар №12-2 ПО 900 шпон дуба  файн-лайн (2/2) (ВЛ),4603636003160
192,Бекар №12-2 ПО 900 шпон дуба (2/2),4607099419377
202,Бекар №12-2 ПО 900 шпон дуба (2/2) (ВЛ),4607158468766
