80,38,,,,measurement_unit,2009-11-05 16:37:12,int(5),acct_objects,,0,0,0,,,1,,1,0,,
81,57,,,,measurement_units,2009-11-05 16:37:42,table,measurement_units,,,1,0,,,1,,0,0,,
82,1,,,,measurement_units,2009-11-05 16:37:56,,,,,1,0,,,0,,0,0,,
83,82,,,,id,2009-11-05 16:38:23,int(5),measurement_units,,,0,1,PRIMARY,,1,,0,0,,
85,82,,,,name,2009-11-05 16:38:50,varchar(200),measurement_units,,,1,0,,,1,,0,0,,
86,57,,,,storage_locations,2009-11-05 16:55:04,table,storage_locations,,,1,0,,,1,,0,0,,
87,64,,,,id_storage_location,2009-11-05 16:55:35,int(20),pc_materials,,,1,0,,,1,,1,0,,
88,1,,,,storage_locations,2009-11-05 16:55:48,,,,,1,0,,,0,,0,0,,
89,88,,,,id,2009-11-05 16:56:40,int(20),storage_locations,,,0,1,PRIMARY,,1,,1,0,,
90,88,,,,name,2009-11-05 16:56:48,varchar(200),storage_locations,,,1,0,,,1,,1,0,,
91,88,,,,length,2009-11-05 17:06:55,"double(20,4)",storage_locations,,,1,0,,,1,,1,0,,
92,88,,,,width,2009-11-05 17:07:18,"double(20,4)",storage_locations,,,1,0,,,1,,1,0,,
93,88,,,,height,2009-11-05 17:07:35,"double(20,4)",storage_locations,,,1,0,,,1,,1,0,,
94,88,,,,mass_limit,2009-11-05 17:07:53,"double(20,4)",storage_locations,,,1,0,,,1,,1,0,,
95,57,,,,pc_operations,2009-11-05 17:12:19,table,pc_operations,,,1,0,,,1,,0,0,,
96,1,,,,pc_operations,2009-11-05 17:12:32,,,,,1,0,,,0,,0,0,,
97,96,,,,target,2009-11-05 18:13:10,int(20),pc_operations,,0,0,0,PRIMARY,,1,,1,0,,
98,96,,,,id_chain,2009-11-05 18:13:12,int(20),pc_operations,,,0,0,PRIMARY,,1,,1,0,,
99,96,,,,id_operation,2009-11-05 18:13:17,int(20),pc_operations,,,0,0,PRIMARY,,1,,1,0,,
100,57,,,,production_operations,2009-11-05 17:19:55,table,production_operations,,,1,0,,,1,,0,0,,
101,1,,,,production_operations,2009-11-05 17:20:20,,,,,1,0,,,0,,0,0,,
102,101,,,,id,2009-11-05 17:20:56,int(20),production_operations,,,0,1,PRIMARY,,1,,1,0,,
103,101,,,,name,2009-11-05 17:21:10,varchar(200),production_operations,,,1,0,,,1,,1,0,,
104,101,,,,time,2009-11-05 17:21:38,datetime,production_operations,,,1,0,,,1,,1,0,,
105,101,,,,workers,2009-11-05 17:22:16,int(20),production_operations,,1,0,0,,,1,,1,0,,
106,57,,,,operation_hardware,2009-11-05 17:22:59,table,operation_hardware,,,1,0,,,1,,0,0,,
107,1,,,,operation_hardware,2009-11-05 17:23:14,,,,,1,0,,,0,,0,0,,
108,107,,,,id_operation,2009-11-05 17:24:08,int(20),operation_hardware,,,0,0,PRIMARY,,1,,1,0,,
109,107,,,,id_object,2009-11-05 17:24:10,int(20),operation_hardware,,,0,0,PRIMARY,,1,,0,0,,
110,107,,,,amount,2009-11-05 17:24:35,"double(20,4)",operation_hardware,,,1,0,,,1,,1,0,,
111,107,,,,wear,2009-11-05 17:25:05,"double(20,4)",operation_hardware,,,1,0,,,1,,1,0,,
112,57,,,,accounts,2009-11-05 17:31:22,table,accounts,,,1,0,,,1,,0,0,,
113,1,,,,accounts,2009-11-05 17:31:34,,,,,1,0,,,0,,0,0,,
114,113,,,,id,2009-11-05 17:31:55,int(20),accounts,,,0,1,PRIMARY,,1,,1,0,,
115,113,,,,name,2009-11-05 17:32:11,varchar(200),accounts,,,1,0,,,1,,1,0,,
121,57,,,,documents,2009-11-05 17:42:04,table,documents,,,1,0,,,1,,0,0,,
120,113,,,,is_active,2009-11-06 12:50:59,int(1),accounts,,0,0,0,,,1,,1,0,,
