,"1","Фламенко №52-3 ПГ 550 укороченное шпон красное дерево (-/4)","Б0104013",20," ","4603636013121","шт.",1
,"2","Фламенко №52-3 ПГ 600 укороченное шпон красное дерево (-/4)","Б0104014",20," ","4603636013114","шт.",1
,"3","Фламенко №52-3 ПГ 600 шпон красное дерево (-/4)","Б0104015","20,2"," ","4603636012896","шт.",1
,"4","Фламенко №52-3 ПГ 700 шпон красное дерево (-/4)","Б0104016","25,2"," ","4603636012964","шт.",1
,"5","Фламенко №52-3 ПГ 800 шпон красное дерево (-/4)","Б0104017","27,2"," ","4603636012995","шт.",1
,"6","Фламенко №52-3 ПГ 900 шпон красное дерево (-/4)","Б0104018",30," ","4603636013107","шт.",1
,"7","Фламенко №52-3 ПО 600 шпон красное дерево (4/4)","Б0104019","16,7"," ","4603636013039","шт.",1
,"9","Фламенко №52-3 ПО 800 шпон красное дерево (4/4)","Б0104021","22,5"," ","4603636012902","шт.",1
