29,"Обслуживающие производства и хозяйства",0,0,0,1,0,"Затраты обсл. пр-в","Подразделения"," "
40,"Выпуск продукции (работ, услуг)",0,0,0,1,1,"Виды номенклатуры"," "," "
41,"Товары",0,0,0,1,0,"Номенклатура"," "," "
"41.1","Товары на складах",0,0,0,1,0,"Номенклатура"," "," "
"41.2","Товары в розничной торговле",0,0,0,1,0,"Номенклатура"," "," "
"41.3","Тара под товаром и порожняя",0,0,0,1,0,"Номенклатура"," "," "
"41.4","Покупные изделия",0,0,0,1,0,"Номенклатура"," "," "
"41.5","Товары, переданные в переработку",0,0,0,1,0,"Номенклатура"," "," "
42,"Торговая наценка",0,0,0,0,1," "," "," "
43,"Готовая продукция",0,0,0,1,0,"Номенклатура"," "," "
44,"Расходы на продажу",0,0,0,1,0," "," "," "
"44.1","Издержки обращения в организациях, осуществляющих торговую деятельность",0,0,0,1,0,"Издержки обращения"," "," "
"44.1.1","Издержки обращения в организациях, осуществляющих торговую деятельность, не облагаемую ЕНВД",0,0,0,1,0,"Издержки обращения"," "," "
"44.1.2","Издержки обращения в организациях, осуществляющих торговую деятельность, облагаемую ЕНВД",0,0,0,1,0,"Издержки обращения"," "," "
"44.1.3","Издержки обращения в организациях, осуществляющих торговую деятельность, подлежащие распределению",0,0,0,1,0,"Издержки обращения"," "," "
"44.2","Коммерческие расходы в организациях, осуществляющих промышленную и иную производственную деятельность",0,0,0,1,0,"Коммерч. расходы"," "," "
"44.3","Расходы на продажу в организациях, осуществляющих заготовление и переработку сельскохозяйственной продукции",0,0,0,1,0,"Расходы на продажу"," "," "
45,"Товары отгруженные",0,1,0,1,0,"Контрагенты","Договоры","Номенклатура"
46,"Выполненные этапы по незавершенным работам",0,0,0,1,0,"Контрагенты","Договоры","Номенклатура"
50,"Касса",0,0,0,1,0," "," "," "
"50.1","Касса организации (в рублях)",0,0,0,1,0,"Дв. ден. средств"," "," "
"50.2","Операционная касса",0,0,0,1,0,"Дв. ден. средств"," "," "
"50.3","Денежные документы (в рублях)",0,0,0,1,0," "," "," "
"50.11","Касса организации (в валюте)",1,0,0,1,0,"Дв. ден. средств"," "," "
"50.33","Денежные документы (в валюте)",1,0,0,1,0," "," "," "
