,"1","Фламенко №52-3 ПГ 550 укороченное шпон венге (-/4)","Б0104210",0," ","4603636013084","шт",1
,"2","Фламенко №52-3 ПГ 600 укороченное шпон венге (-/4)","Б0104211",0," ","4603636013169","шт",1
,"3","Фламенко №52-3 ПГ 600 шпон венге (-/4)","Б0104212",0," ","4603636013152","шт",1
,"4","Фламенко №52-3 ПГ 700 шпон венге (-/4)","Б0104213",0," ","4603636013145","шт",1
,"5","Фламенко №52-3 ПГ  800 шпон венге (-/4)","Б0104070","27,2"," ","4603636013138","шт.",1
,"6","Фламенко №52-3 ПГ  900 шпон венге (-/4)","Б0104215",30," ","2001042150010","шт.",1
,"7","Фламенко №52-3 ПО  600 шпон венге (4/4)","Б0104216",0," ","4603636013091","шт",1
